date,workout_category,workout_type,workout_name,sets,reps,weight_kg,volume_load_kg,estimated_one_repMax
5-Jan,Pull,Biceps,Biceps Cable Curl,2,22,15,660,26
5-Jan,Pull,Biceps,Preacher Curl Barbell,2,30,13.6,816,27.2
7-Jan,Legs,Legs (compound),Back Squat,2,12,50,1200,70
7-Jan,Legs,Legs (isolation),Leg Extension,2,28,50,2800,96.67
7-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,31,50,3100,101.67
7-Jan,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,30,30,1800,60
7-Jan,Legs,Hips/Adductors,Inner Thigh Abduction,2,32,30,1920,62
7-Jan,Legs,Calves,Standing Barbell Calf Raise,2,24,40,1920,72
7-Jan,Core,Core,Decline Crunch,2,24,1,48,1.8
8-Jan,Push,Chest (compound),Dumbbell Incline Bench Press,2,26,15,780,28
8-Jan,Push,Chest (isolation),Pec Deck ,2,20,35,1400,58.33
8-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,26,39,2028,72.8
8-Jan,Pull,Back (compound),Seated Cable Row - V Grip,2,26,19.5,1014,36.4
8-Jan,Push,Triceps,Isolated Tricep Pushdown,2,44,15,1320,37
8-Jan,Push,Triceps,Overhead Triceps Extensions,2,23,20,920,35.33
8-Jan,Pull,Biceps,EZ Bar Preacher Curl,2,25,10,500,18.33
10-Jan,Legs,Legs (compound),Smith Machine Back Squat,2,50,27,2700,72
10-Jan,Legs,Legs (isolation),Leg Extension,2,27,50,2700,95
10-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,26,50,2600,93.33
10-Jan,Legs,Hips/Glutes (abductor),Cable Hip Abduction,2,22,14,616,24.27
10-Jan,Legs,Hamstring/Glutes,Dumbbell Deadlift,2,24,12.5,600,22.5
10-Jan,Pull,Forearms/Grip,Seated Barbell Wrist Extension,2,24,13.7,657.6,24.66
10-Jan,Pull,Forearms/Grip,Seated Barbell Reverse Wrist Extension,2,24,13.7,657.6,24.66
10-Jan,Core,Core,Reverse Crunch,2,25,1,50,1.83
10-Jan,Pull,Traps,Dumbbell Shrugs,2,30,15,900,30
12-Jan,Push,Chest (compound),Iso-Lateral Chest Press Machine,2,24,27,1296,48.6
12-Jan,Push,Chest (compound),Chest Press Machine,2,24,32,1536,57.6
12-Jan,Push,Shoulders (compound),Seated Shoulder Press Machine,2,35,27,1890,58.5
12-Jan,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5,400,11.67
12-Jan,Push,Triceps,Tricep Rope Pushdown,2,26,23,1196,42.93
12-Jan,Push,Triceps,Overhead Triceps Extensions,2,24,23,1104,41.4
12-Jan,Pull,Traps,Dumbbell Shrugs,2,30,15,900,30
13-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,20,39,1560,65
13-Jan,Pull,Back (compound),Close-Grip Lat Pulldown,2,24,32.5,1560,58.5
13-Jan,Pull,Back (compound),Single Arm Cable Row,2,52,13,1352,35.53
13-Jan,Pull,Back (compound),Wide-Grip Seated Cable Row,2,24,32.2,1545.6,57.96
13-Jan,Push,Shoulders (isolation),Rear Delt Reverse Fly Machine,2,18,20,720,32
13-Jan,Pull,Biceps,Seated Dumbbell Incline Curl,2,11,8,176,10.93
13-Jan,Pull,Biceps,Cable Rope Hammer Curl,2,24,20,960,36
14-Jan,Legs,Legs (compound),Smith Machine Back Squat,2,24,40,1920,72
14-Jan,Legs,Legs (isolation),Leg Extension,2,30,55,3300,110
14-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,29,60,3480,118
14-Jan,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,24,30,1440,54
14-Jan,Legs,Hips/Adductors,Inner Thigh Abduction,2,29,30,1740,59
14-Jan,Legs,Calves,Standing Barbell Calf Raise,2,24,40,1920,72
14-Jan,Core,Core,Decline Crunch,2,17,1,34,1.57
16-Jan,Push,Chest (compound),Dumbbell Bench Press,2,22,15,660,26
16-Jan,Push,Chest (isolation),Pec Deck ,2,19,35,1330,57.17
16-Jan,Push,Shoulders (compound),Dumbbell Shoulder Press,2,22,15,660,26
16-Jan,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,42,5,420,12
16-Jan,Push,Triceps,Tricep Rope Pushdown,2,27,25,1350,47.5
16-Jan,Pull,Biceps,Preacher Curl Barbell,2,20,15,600,25
16-Jan,Pull,Traps,Barbell Shrugs,2,22,50,2200,86.67
17-Jan,Legs,Legs (compound),Smith Machine Back Squat,2,24,50,2400,90
17-Jan,Legs,Legs (isolation),Leg Extension,2,29,59,3422,116.03
17-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,23,60,2760,106
17-Jan,Legs,Hips/Glutes (abductor),Wide-Stance Leg Press Machine,2,24,50,2400,90
17-Jan,Legs,Calves,Standing Barbell Calf Raise,2,22,50,2200,86.67
17-Jan,Core,Core,Cable Crunch,2,20,50,2000,83.33
17-Jan,Pull,Forearms/Grip,Seated Barbell Wrist Extension,2,20,9,360,15
19-Jan,Push,Chest (compound),Cable Fly Crossovers,2,20,15,600,25
19-Jan,Push,Chest (compound),Dumbbell Bench Press,2,22,15,660,26
19-Jan,Push,Shoulders (compound),Dumbbell Shoulder Press,2,20,15,600,25
19-Jan,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5,400,11.67
19-Jan,Push,Triceps,Tricep Rope Pushdown,2,22,25,1100,43.33
19-Jan,Push,Triceps,Overhead Triceps Extensions,2,26,25,1300,46.67
21-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,21,39,1638,66.3
21-Jan,Pull,Back (compound),Seated Cable Row - V Grip,2,21,26,1092,44.2
21-Jan,Pull,Back (compound),Wide-Grip Seated Cable Row,2,21,26,1092,44.2
21-Jan,Pull,Shoulders (isolation),Rear Delt Reverse Fly Machine,2,20,20,800,33.33
21-Jan,Pull,Biceps,Seated Dumbbell Incline Curl,2,14,7,196,10.27
21-Jan,Pull,Biceps,Cable Rope Hammer Curl,2,24,20,960,36
21-Jan,Pull,Traps,Barbell Shrugs,2,24,50,2400,90
22-Jan,Legs,Legs (compound),Horizontal Leg Press Machine,2,27,84.5,4563,160.55
22-Jan,Legs,Legs (isolation),Leg Extension,2,30,60,3600,120
22-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,30,65,3900,130
22-Jan,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,24,30,1440,54
22-Jan,Legs,Hips/Adductors,Inner Thigh Abduction,2,25,35,1750,64.17
22-Jan,Legs,Calves,Standing Barbell Calf Raise,2,20,50,2000,83.33
22-Jan,Core,Core,Reverse Crunch,2,23,1,46,1.77
23-Jan,Push,Chest (compound),Dumbbell Incline Bench Press,2,18,17.5,630,28
23-Jan,Push,Chest (isolation),Pec Deck ,2,20,30,1200,50
23-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,20,39,1560,65
23-Jan,Pull,Back (compound),Seated Cable Row - V Grip,2,22,26,1144,45.07
23-Jan,Pull,Triceps,Isolated Tricep Pushdown,2,38,10,760,22.67
23-Jan,Pull,Biceps,Biceps Cable Curl,2,19,30,1140,49
23-Jan,Pull,Traps,Barbell Shrugs,2,24,50,2400,90
26-Jan,Push,Chest (compound),Chest Press Machine,2,20,27,1080,45
26-Jan,Push,Chest (isolation),Pec Deck ,2,22,32,1408,55.47
26-Jan,Push,Shoulders (compound),Shoulder Press Machine,2,20,27,1080,45
26-Jan,Push,Shoulders (isolation),Hip-height Cable Lateral Raises,2,40,5,400,11.67
26-Jan,Pull,Biceps,EZ Bar Preacher Curl,2,24,15,720,27
26-Jan,Pull,Biceps,Cable Rope Hammer Curl,2,20,20,800,33.33
28-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,22,39,1716,67.6
28-Jan,Pull,Back (compound),Single Arm Cable Row,2,40,26,2080,60.67
28-Jan,Pull,Back (compound),Wide-Grip Seated Cable Row,2,20,26,1040,43.33
28-Jan,Pull,Shoulders (isolation),Rear Delt Reverse Fly Machine,2,20,25,1000,41.67
28-Jan,Push,Triceps,Tricep Rope Pushdown,2,20,30,1200,50
28-Jan,Push,Triceps,Overhead Triceps Extensions,2,22,25,1100,43.33
28-Jan,Pull,Traps,Barbell Shrugs,2,23,50,2300,88.33
29-Jan,Legs,Legs (compound),Single Leg Press,2,51,52,5304,140.4
29-Jan,Legs,Legs (isolation),Leg Extension,2,28,65,3640,125.67
29-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,30,70,4200,140
29-Jan,Legs,Hips/Glutes (abductor),Outer Thigh Abduction,2,24,30,1440,54
29-Jan,Legs,Hips/Adductors,Inner Thigh Abduction,2,25,30,1500,55
29-Jan,Legs,Calves,Calf Press,2,30,65,3900,130
29-Jan,Core,Core,Decline Crunch,2,27,1,54,1.9
29-Jan,Pull,Forearms/Grip,Seated Palms-up Dumbbell Wrist Curl,2,24,8,384,14.4
30-Jan,Push,Chest (compound),Dumbbell Incline Bench Press,2,20,17.5,700,29.17
30-Jan,Push,Chest (isolation),Pec Deck ,2,20,30,1200,50
30-Jan,Pull,Back (compound),Wide-Grip Lat Pulldown,2,20,39,1560,65
30-Jan,Pull,Back (compound),Seated Cable Row - V Grip,2,22,26,1144,45.07
30-Jan,Push,Triceps,Isolated Tricep Pushdown,2,50,10,1000,26.67
30-Jan,Pull,Biceps,Biceps Cable Curl,2,22,30,1320,52
30-Jan,Pull,Traps,Barbell Shrugs,2,22,50,2200,86.67
31-Jan,Legs,Legs (compound),Smith Machine Back Squat,2,24,50,2400,90
31-Jan,Legs,Legs (isolation),Leg Extension,2,24,65,3120,117
31-Jan,Legs,Legs (isolation),Seated Hamstring Curls,2,20,65,2600,108.33
31-Jan,Legs,Legs (compound),Dumbbell Deadlift,2,24,12.5,600,22.5
31-Jan,Legs,Hips/Glutes (abductor),Wide-Stance Leg Press Machine,2,24,50,2400,90
31-Jan,Legs,Calves,Calf Press,2,24,50,2400,90
31-Jan,Core,Core,Reverse Crunch,2,25,1,50,1.83
